j,B-Frequency
1,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
与,0
2,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
、,0
餐,B-Method
时,I-Method
/,0
基,B-Method
础,I-Method
/,0
预,B-Method
混,I-Method
"
",0
胰,B-Drug
岛,I-Drug
素,I-Drug
来,0
看,0
看,0
相,0
应,0
的,0
指,0
南,0
/,0
共,0
识,0
是,0
怎,0
么,0
说,0
的,0
。,0
"
",0
1,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
:,0
 ,0
(,0
《,0
中,0
国,0
1,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
胰,B-Drug
岛,I-Drug
素,I-Drug
治,0
疗,0
"
",0
指,0
南,0
》,0
),0
"
",0
与,0
发,0
达,0
国,0
家,0
的,0
1,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
人,0
群,0
相,0
比,0
",",0
我,0
国,0
的,0
1,B-Disease
型,I-Disease
"
",I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
人,0
群,0
存,0
在,0
血,B-Test
糖,I-Test
达,0
标,0
率,0
低,0
、,0
急,B-Disease
慢,I-Disease
性,I-Disease
并,I-Disease
发,I-Disease
症,I-Disease
发,0
生,0
率,0
"
",0
高,0
、,0
寿,0
命,0
短,0
等,0
明,0
显,0
不,0
足,0
。,0
尽,0
管,0
国,0
际,0
上,0
倡,0
导,0
“,0
基,B-Method
础,I-Method
+,I-Method
餐,I-Method
"
",I-Method
时,I-Method
”,0
胰,B-Drug
岛,I-Drug
素,I-Drug
强,0
化,0
治,0
疗,0
方,0
案,0
",",0
但,0
该,0
方,0
案,0
在,0
我,0
国,0
1,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
"
",I-Disease
病,I-Disease
人,0
群,0
中,0
的,0
应,0
用,0
率,0
很,0
低,0
",",0
而,0
以,0
每,B-Frequency
日,I-Frequency
2,I-Frequency
次,I-Frequency
方,0
案,0
者,0
居,0
多,0
。,0
"
",0
为,0
此,0
",",0
中,0
华,0
医,0
学,0
会,0
糖,0
尿,0
病,0
学,0
分,0
会,0
在,0
2,0
0,0
1,0
 ,0
6,0
年,0
发,0
布,0
了,0
《,0
中,0
"
",0
国,0
1,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
胰,0
岛,0
素,0
治,0
疗,0
指,0
南,0
》,0
",",0
以,0
期,0
规,0
范,0
我,0
国,0
的,0
1,B-Disease
型,I-Disease
"
",I-Disease
糖,I-Disease
尿,I-Disease
病,0
胰,B-Drug
岛,I-Drug
素,I-Drug
治,0
疗,0
。,0
"
",0
基,0
本,0
原,0
则,0
"
",0
(,0
1,0
),0
1,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
患,0
者,0
因,0
自,0
身,0
胰,B-Reason
岛,I-Reason
素,I-Reason
分,I-Reason
泌,I-Reason
绝,I-Reason
对,I-Reason
缺,I-Reason
"
",I-Reason
乏,I-Reason
",",0
完,0
全,0
或,0
部,0
分,0
需,0
要,0
外,B-Drug
源,I-Drug
性,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
替,0
代,0
以,0
维,0
持,0
体,0
内,0
糖,0
"
",0
代,0
谢,0
平,0
衡,0
和,0
生,0
存,0
",",0
基,B-Method
础,I-Method
加,0
餐,B-Method
时,I-Method
胰,B-Drug
岛,I-Drug
素,I-Drug
治,0
疗,0
是,0
其,0
首,0
选,0
的,0
"
",0
胰,B-Drug
岛,I-Drug
素,I-Drug
治,0
疗,0
方,0
案,0
。,0
"
",0
(,0
2,0
),0
应,0
尽,0
可,0
能,0
在,0
避,0
免,0
低,B-Disease
血,I-Disease
糖,I-Disease
的,0
前,0
提,0
下,0
使,0
血,B-Test
糖,I-Test
达,0
"
",0
标,0
",",0
以,0
降,0
低,0
远,0
期,0
并,0
发,0
症,0
的,0
发,0
生,0
风,0
险,0
",",0
因,0
此,0
建,0
议,0
胰,B-Drug
岛,I-Drug
素,I-Drug
"
",0
治,0
疗,0
方,0
案,0
必,0
须,0
个,0
体,0
化,0
",",0
制,0
订,0
方,0
案,0
时,0
要,0
兼,0
顾,0
胰,B-Anatomy
岛,I-Anatomy
功,0
能,0
、,0
"
",0
血,B-Test
糖,I-Test
控,0
制,0
目,0
标,0
、,0
血,B-Test
糖,I-Test
波,0
动,0
幅,0
度,0
、,0
低,B-Disease
血,I-Disease
糖,I-Disease
发,0
生,0
风,0
险,0
等,0
。,0
"
",0
方,0
案,0
1,0
"
",0
方,0
案,0
2,0
"
",0
方,0
案,0
3,0
"
",0
热,0
点,0
话,0
题,0
I,0
H,0
o,0
t,0
 ,0
T,0
o,0
p,0
i,0
c,0
"
",0
(,0
3,0
),0
基,B-Method
础,I-Method
加,0
餐,B-Method
时,I-Method
胰,B-Drug
岛,I-Drug
素,I-Drug
替,0
代,0
治,0
疗,0
方,0
法,0
包,0
括,0
每,B-Frequency
日,I-Frequency
"
",I-Frequency
多,I-Frequency
次,I-Frequency
胰,B-Drug
岛,I-Drug
素,I-Drug
注,B-Method
射,I-Method
和,0
持,B-Frequency
续,I-Frequency
皮,B-Method
下,I-Method
胰,B-Drug
岛,I-Drug
素,I-Drug
输,B-Method
注,I-Method
。,0
"
",0
临,0
床,0
用,0
法,0
"
",0
(,0
1,0
),0
每,B-Frequency
日,I-Frequency
多,I-Frequency
次,I-Frequency
胰,B-Drug
岛,I-Drug
素,I-Drug
注,0
射,0
方,0
案,0
"
",0
基,B-Drug
础,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
可,0
通,0
过,0
中,B-Drug
效,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
、,0
长,B-Drug
效,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
或,0
长,B-Drug
"
",I-Drug
效,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
类,I-Drug
似,I-Drug
物,I-Drug
给,0
予,0
",",0
餐,B-Drug
时,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
可,0
通,0
过,0
短,B-Drug
效,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
"
",0
或,0
速,B-Drug
效,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
类,0
似,0
物,0
给,0
予,0
",",0
详,0
见,0
表,0
1,0
。,0
该,0
指,0
南,0
指,0
出,0
。,0
"
",0
与,0
中,B-Drug
效,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
相,0
比,0
",",0
长,B-Drug
效,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
类,I-Drug
似,I-Drug
物,I-Drug
空,B-Test
腹,I-Test
血,I-Test
糖,I-Test
控,0
制,0
"
",0
更,0
好,0
",",0
夜,B-SideEff
间,I-SideEff
低,I-SideEff
血,I-SideEff
糖,I-SideEff
发,0
生,0
风,0
险,0
更,0
低,0
。,0
具,0
体,0
用,0
法,0
:,0
①,0
体,B-Test
重,I-Test
"
",0
在,0
理,0
想,0
体,B-Test
重,I-Test
正,0
负,0
2,0
0,0
%,0
以,0
内,0
的,0
成,0
年,0
患,0
者,0
",",0
若,0
无,0
特,0
殊,0
情,0
况,0
"
",0
每,B-Frequency
日,I-Frequency
胰,B-Drug
岛,I-Drug
素,I-Drug
需,0
要,0
总,0
量,0
0,B-Amount
.,I-Amount
4,I-Amount
~,I-Amount
0,I-Amount
.,I-Amount
8,I-Amount
单,I-Amount
位,I-Amount
/,I-Amount
千,I-Amount
克,I-Amount
体,I-Amount
重,I-Amount
",",0
每,B-Frequency
日,I-Frequency
总,0
"
",0
量,0
也,0
可,0
以,0
最,0
小,0
剂,0
量,0
1,B-Amount
 ,I-Amount
2,I-Amount
~,I-Amount
1,I-Amount
 ,I-Amount
8,I-Amount
单,I-Amount
位,I-Amount
起,0
始,0
;,0
儿,0
童,0
则,0
需,0
根,0
据,0
年,0
"
",0
龄,0
、,0
体,B-Test
重,I-Test
及,0
血,B-Test
糖,I-Test
情,0
况,0
γ,0
情,0
处,0
理,0
。,0
②,0
每,B-Frequency
日,I-Frequency
胰,B-Drug
岛,I-Drug
素,I-Drug
基,0
础,0
量,0
"
",0
=,0
全,0
天,0
胰,B-Drug
岛,I-Drug
素,I-Drug
总,0
量,0
X,0
(,0
4,0
0,0
%,0
~,0
6,0
0,0
%,0
),0
",",0
长,B-Drug
效,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
一,0
"
",0
般,0
1,B-Frequency
次,I-Frequency
注,0
射,0
",",0
中,B-Drug
效,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
可,0
每,B-Frequency
日,I-Frequency
1,I-Frequency
次,I-Frequency
或,I-Frequency
2,I-Frequency
次,I-Frequency
注,I-Frequency
射,I-Frequency
。,0
③,0
每,0
"
",0
日,0
餐,B-Method
时,I-Method
量,0
一,0
般,0
按,0
餐,0
时,0
总,0
量,0
的,0
3,0
5,0
%,0
、,0
3,0
0,0
%,0
、,0
3,0
5,0
%,0
分,0
配,0
在,0
"
",0
早,B-Frequency
中,I-Frequency
晚,I-Frequency
餐,I-Frequency
前,I-Frequency
。,0
"
",0
(,0
2,0
),0
持,0
续,0
皮,B-Method
下,I-Method
胰,B-Drug
岛,I-Drug
素,I-Drug
输,0
注,0
"
",0
无,0
论,0
是,0
直,0
接,0
起,0
始,0
胰,B-Drug
岛,I-Drug
素,I-Drug
泵,I-Drug
还,0
是,0
每,B-Frequency
日,I-Frequency
多,I-Frequency
次,I-Frequency
胰,B-Drug
岛,I-Drug
素,I-Drug
"
",0
注,0
射,0
方,0
案,0
与,0
胰,B-Drug
岛,I-Drug
素,I-Drug
泵,I-Drug
方,0
案,0
的,0
相,0
互,0
转,0
换,0
",",0
都,0
建,0
议,0
住,0
院,0
在,0
"
",0
医,0
生,0
指,0
导,0
下,0
完,0
成,0
。,0
具,0
体,0
用,0
法,0
:,0
①,0
初,0
始,0
胰,B-Drug
岛,I-Drug
素,I-Drug
泵,I-Drug
方,0
案,0
的,0
"
",0
每,B-Frequency
日,I-Frequency
胰,B-Drug
岛,I-Drug
素,I-Drug
总,0
量,0
可,0
按,0
0,B-Amount
.,I-Amount
4,I-Amount
~,I-Amount
0,I-Amount
.,I-Amount
5,I-Amount
单,I-Amount
位,I-Amount
/,I-Amount
千,I-Amount
克,I-Amount
体,I-Amount
重,I-Amount
计,0
算,0
;,0
②,0
"
",0
每,0
日,0
基,0
础,0
量,0
=,0
全,0
天,0
胰,B-Drug
岛,I-Drug
素,I-Drug
总,0
量,0
X,0
(,0
4,0
0,0
%,0
~,0
6,0
0,0
%,0
),0
",",0
常,0
"
",0
规,0
分,0
为,0
6,0
或,0
更,0
多,0
个,0
时,0
间,0
段,0
",",0
以,0
尽,0
量,0
减,0
少,0
或,0
避,0
免,0
低,B-SideEff
血,I-SideEff
糖,I-SideEff
"
",0
事,0
件,0
",",0
或,0
根,0
据,0
血,B-Test
糖,I-Test
情,0
况,0
分,0
段,0
设,0
置,0
基,0
础,0
输,0
注,0
率,0
;,0
③,0
餐,0
时,0
"
",0
追,0
加,0
量,0
=,0
全,0
天,0
胰,B-Drug
岛,I-Drug
素,I-Drug
总,0
量,0
X,0
(,0
4,0
0,0
%,0
~,0
6,0
0,0
%,0
),0
",",0
根,0
据,0
早,0
"
",0
中,0
晚,0
三,0
餐,0
比,0
例,0
一,0
般,0
按,0
1,0
/,0
3,0
、,0
1,0
/,0
3,0
、,0
1,0
/,0
3,0
或,0
1,0
/,0
5,0
、,0
2,0
/,0
5,0
、,0
2,0
",",0
5,0
分,0
"
",0
配,0
",",0
之,0
后,0
根,0
据,0
血,B-Test
糖,I-Test
监,0
测,0
结,0
果,0
调,0
整,0
。,0
"
",0
(,0
3,0
),0
特,0
殊,0
情,0
况,0
"
",0
①,0
蜜,B-SideEff
月,I-SideEff
期,I-SideEff
:,0
初,0
诊,0
1,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
患,0
者,0
经,0
胰,B-Drug
岛,I-Drug
素,I-Drug
规,0
范,0
"
",0
治,0
疗,0
后,0
可,0
短,0
期,0
停,0
用,0
胰,B-Drug
岛,I-Drug
素,I-Drug
或,0
每,B-Frequency
日,I-Frequency
使,0
用,0
很,0
少,0
量,0
胰,B-Drug
岛,I-Drug
素,I-Drug
"
",0
表,0
1,0
 ,0
1,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
每,B-Frequency
日,I-Frequency
多,I-Frequency
次,I-Frequency
胰,B-Method
岛,I-Method
素,I-Method
注,I-Method
射,I-Method
方,0
案,0
"
",0
短,0
效,0
/,0
速,0
效,0
"
",0
短,0
效,0
/,0
速,0
效,0
"
",0
短,0
效,0
/,0
速,0
效,0
+,0
中,0
效,0
/,0
长,0
效,0
"
",0
短,0
效,0
/,0
速,0
效,0
"
",0
短,0
效,0
/,0
速,0
效,0
"
",0
短,0
效,0
/,0
速,0
效,0
"
",0
短,0
效,0
/,0
速,0
效,0
"
",0
短,0
效,0
/,0
速,0
效,0
"
",0
短,0
效,0
/,0
速,0
效,0
"
",0
中,0
效,0
/,0
长,0
效,0
"
",0
长,0
效,0
类,0
似,0
物,0
"
",0
中,0
效,0
/,0
长,0
效,0
"
",0
来,0
源,0
:,0
《,0
中,0
国,0
1,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
胰,0
岛,0
素,0
治,0
疗,0
指,0
南,0
》,0
"
",0
糖,B-Disease
屎,I-Disease
病,I-Disease
天,0
地,0
2,0
0,0
1,0
7,0
 ,0
I,0
I,0
 ,0
9,0
"
",0
治,0
疗,0
",",0
血,B-Test
糖,I-Test
水,0
平,0
就,0
能,0
维,0
持,0
在,0
接,0
近,0
正,0
常,0
或,0
正,0
常,0
的,0
范,0
围,0
"
",0
内,0
",",0
即,0
1,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
蜜,B-SideEff
月,I-SideEff
期,I-SideEff
。,0
在,0
此,0
阶,0
段,0
根,0
据,0
血,B-Test
糖,I-Test
监,0
测,0
情,0
"
",0
况,0
",",0
可,0
每,B-Frequency
日,I-Frequency
≤,I-Frequency
3,I-Frequency
次,I-Frequency
小,0
剂,0
量,0
胰,B-Drug
岛,I-Drug
素,I-Drug
(,0
包,0
括,0
预,B-Drug
混,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
),0
"
",0
注,0
射,0
",",0
但,0
应,0
以,0
维,0
持,0
血,B-Test
糖,I-Test
达,0
标,0
为,0
准,0
;,0
如,0
出,0
现,0
血,B-Test
糖,I-Test
波,0
动,0
"
",0
大,0
、,0
血,B-Test
糖,I-Test
不,0
易,0
控,0
制,0
",",0
需,0
频,0
繁,0
调,0
整,0
胰,B-Drug
岛,I-Drug
素,I-Drug
用,0
量,0
等,0
情,0
"
",0
况,0
",",0
建,0
议,0
及,0
时,0
评,0
估,0
胰,B-Anatomy
岛,I-Anatomy
功,0
能,0
并,0
及,0
时,0
改,0
用,0
胰,B-Drug
岛,I-Drug
素,I-Drug
强,0
化,0
"
",0
治,0
疗,0
方,0
案,0
。,0
"
",0
②,0
脆,B-SideEff
性,I-SideEff
糖,I-SideEff
尿,I-SideEff
病,I-SideEff
:,0
1,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
患,0
病,0
一,0
段,0
时,0
间,0
后,0
由,0
于,0
"
",0
胰,B-Anatomy
岛,I-Anatomy
功,0
能,0
完,0
全,0
衰,0
竭,0
",",0
出,0
现,0
血,B-Test
糖,I-Test
巨,0
幅,0
波,0
动,0
",",0
高,B-SideEff
血,I-SideEff
糖,I-SideEff
与,0
"
",0
低,B-SideEff
血,I-SideEff
糖,I-SideEff
交,0
替,0
出,0
现,0
",",0
频,0
发,0
不,0
可,0
预,0
知,0
的,0
严,0
重,0
低,B-SideEff
血,I-SideEff
糖,I-SideEff
",",0
即,0
"
",0
脆,B-SideEff
性,I-SideEff
糖,I-SideEff
尿,I-SideEff
病,I-SideEff
。,0
少,0
数,0
进,0
展,0
迅,0
速,0
的,0
患,0
者,0
在,0
确,0
诊,0
时,0
即,0
可,0
进,0
"
",0
入,0
脆,B-SideEff
性,I-SideEff
糖,I-SideEff
尿,I-SideEff
病,I-SideEff
阶,0
段,0
。,0
此,0
类,0
患,0
者,0
建,0
议,0
使,0
用,0
胰,B-Drug
岛,I-Drug
素,I-Drug
泵,I-Drug
或,0
"
",0
速,B-Drug
效,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
类,I-Drug
似,I-Drug
物,I-Drug
联,0
合,0
长,B-Drug
效,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
类,I-Drug
似,I-Drug
物,I-Drug
方,0
案,0
。,0
"
",0
③,0
儿,0
童,0
青,0
少,0
年,0
患,0
者,0
:,0
因,0
特,0
殊,0
情,0
况,0
无,0
法,0
坚,0
持,0
基,B-Method
础,I-Method
"
",0
加,0
餐,B-Method
时,I-Method
胰,B-Drug
岛,I-Drug
素,I-Drug
治,0
疗,0
方,0
案,0
时,0
",",0
如,0
短,0
期,0
使,0
用,0
预,B-Drug
混,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
"
",0
治,0
疗,0
",",0
毖,0
须,0
加,0
强,0
血,B-Test
糖,I-Test
监,0
测,0
",",0
及,0
时,0
根,0
据,0
血,B-Test
糖,I-Test
情,0
况,0
重,0
新,0
"
",0
调,0
整,0
胰,B-Drug
岛,I-Drug
素,I-Drug
治,0
疗,0
方,0
案,0
",",0
以,0
避,0
免,0
长,0
期,0
血,B-Test
糖,I-Test
不,0
达,0
标,0
带,0
来,0
"
",0
的,0
各,0
种,0
急,0
慢,0
性,0
并,0
发,0
症,0
。,0
进,0
入,0
青,0
春,0
期,0
后,0
",",0
一,0
方,0
面,0
为,0
了,0
"
",0
维,0
持,0
正,0
常,0
生,0
长,0
发,0
育,0
而,0
不,0
可,0
过,0
度,0
严,0
格,0
控,0
制,0
饮,0
食,0
",",0
另,0
一,0
"
",0
方,0
面,0
体,0
内,0
性,B-Anatomy
激,I-Anatomy
素,I-Anatomy
、,0
生,B-Anatomy
长,I-Anatomy
激,I-Anatomy
素,I-Anatomy
等,0
胰,B-Anatomy
岛,I-Anatomy
素,I-Anatomy
拮,I-Anatomy
抗,I-Anatomy
激,I-Anatomy
素,I-Anatomy
分,0
泌,0
"
",0
增,0
多,0
",",0
因,0
此,0
胰,B-Drug
岛,I-Drug
素,I-Drug
需,0
要,0
量,0
会,0
增,0
加,0
",",0
而,0
且,0
患,0
者,0
的,0
血,B-Test
糖,I-Test
"
",0
水,0
平,0
会,0
比,0
青,0
春,0
期,0
前,0
明,0
显,0
升,0
高,0
且,0
波,0
动,0
较,0
大,0
",",0
需,0
要,0
加,0
强,0
"
",0
血,B-Test
糖,I-Test
监,0
测,0
",",0
适,0
时,0
调,0
整,0
胰,B-Drug
岛,I-Drug
素,I-Drug
治,0
疗,0
方,0
案,0
。,0
"
",0
④,0
妊,0
娠,0
患,0
者,0
:,0
合,0
并,0
妊,0
娠,0
时,0
可,0
采,0
用,0
短,B-Drug
效,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
、,0
"
",0
中,B-Drug
效,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
或,0
长,B-Drug
效,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
进,0
行,0
方,0
案,0
组,0
合,0
",",0
或,0
使,0
用,0
"
",0
胰,B-Drug
岛,I-Drug
泵,I-Drug
治,0
疗,0
。,0
目,0
前,0
经,0
国,0
家,0
食,0
品,0
药,0
品,0
监,0
督,0
管,0
理,0
总,0
局,0
"
",0
(,0
C,0
F,0
D,0
A,0
),0
批,0
准,0
可,0
用,0
于,0
妊,B-Disease
娠,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
和,0
糖,0
尿,B-Disease
病,I-Disease
合,I-Disease
并,I-Disease
妊,I-Disease
娠,I-Disease
"
",0
患,0
者,0
的,0
胰,B-Drug
岛,I-Drug
素,I-Drug
类,I-Drug
似,I-Drug
物,I-Drug
制,I-Drug
剂,I-Drug
是,0
门,B-Drug
冬,I-Drug
胰,I-Drug
岛,I-Drug
素,I-Drug
和,0
地,B-Drug
特,I-Drug
胰,I-Drug
岛,I-Drug
"
",I-Drug
素,I-Drug
。,0
与,0
2,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
患,0
者,0
妊,0
娠,0
期,0
间,0
的,0
情,0
况,0
类,0
似,0
",",0
由,0
于,0
激,0
"
",0
素,0
水,0
平,0
的,0
变,0
化,0
",",0
妊,0
娠,0
中,0
后,0
期,0
胰,B-Drug
岛,I-Drug
素,I-Drug
需,0
要,0
量,0
",",0
尤,0
其,0
是,0
"
",0
日,0
问,0
胰,B-Drug
岛,I-Drug
素,I-Drug
需,0
要,0
量,0
会,0
增,0
加,0
",",0
而,0
随,0
着,0
胎,B-Anatomy
盘,I-Anatomy
娩,0
出,0
",",0
拮,0
抗,0
"
",0
胰,B-Drug
岛,I-Drug
素,I-Drug
的,0
激,0
素,0
及,0
破,0
坏,0
胰,B-Drug
岛,I-Drug
素,I-Drug
的,0
酶,0
急,0
剧,0
减,0
少,0
或,0
消,0
失,0
",",0
"
",0
胰,B-Drug
岛,I-Drug
素,I-Drug
需,0
要,0
量,0
会,0
快,0
速,0
减,0
少,0
",",0
一,0
般,0
分,0
娩,0
后,0
2,0
~,0
3,0
天,0
胰,B-Drug
岛,I-Drug
"
",I-Drug
素,I-Drug
可,0
减,0
量,0
至,0
原,0
量,0
的,0
1,0
/,0
3,0
~,0
1,0
/,0
2,0
。,0
"
",0
⑤,0
超,B-Disease
重,I-Disease
或,0
肥,B-Disease
胖,I-Disease
患,0
者,0
:,0
胰,B-Reason
岛,I-Reason
素,I-Reason
抵,I-Reason
抗,I-Reason
会,0
导,0
致,0
胰,B-Drug
岛,I-Drug
素,I-Drug
"
",0
需,0
要,0
量,0
增,0
加,0
",",0
必,0
要,0
时,0
可,0
联,0
合,0
二,B-Drug
甲,I-Drug
双,I-Drug
胍,I-Drug
(,0
1,0
0,0
岁,0
以,0
下,0
儿,0
"
",0
童,0
禁,0
用,0
),0
。,0
"
",0
2,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
:,0
 ,0
(,0
《,0
成,0
人,0
2,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
胰,B-Drug
岛,I-Drug
素,I-Drug
临,0
床,0
"
",0
应,0
用,0
的,0
中,0
国,0
专,0
家,0
共,0
识,0
(,0
2,0
0,0
1,0
 ,0
3,0
:,0
生,0
r,0
-,0
-,0
版,0
),0
》,0
),0
"
",0
中,0
国,0
特,0
色,0
"
",0
首,0
先,0
来,0
说,0
",",0
东,0
西,0
方,0
2,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
人,0
群,0
的,0
病,0
生,0
理,0
特,0
点,0
"
",0
及,0
血,B-Test
糖,I-Test
特,0
点,0
有,0
所,0
不,0
同,0
:,0
西,0
方,0
白,0
种,0
人,0
的,0
日,0
常,0
饮,0
食,0
中,0
脂,B-Anatomy
肪,I-Anatomy
"
",0
含,0
量,0
较,0
高,0
",",0
胰,B-Disease
