代,B-Disease
1,I-Anatomy
 ,I-Anatomy
基,I-Anatomy
因,I-Anatomy
表,0
达,0
的,0
可,0
能,0
影,0
响,0
",",0
探,0
讨,0
 ,0
W,0
n,0
t,0
 ,0
信,0
号,0
通,0
路,0
是,0
否,0
参,0
与,0
了,0
糖,B-Anatomy
化,I-Anatomy
 ,I-Anatomy
L,I-Anatomy
D,I-Anatomy
L,I-Anatomy
 ,0
对,0
"
",0
成,B-Anatomy
骨,I-Anatomy
细,I-Anatomy
胞,I-Anatomy
增,0
殖,0
分,0
化,0
的,0
调,0
节,0
。,0
 ,0
方,0
法,0
 ,0
在,0
小,0
鼠,0
成,B-Anatomy
骨,I-Anatomy
细,I-Anatomy
胞,I-Anatomy
株,0
 ,0
M,0
C,0
3,0
T,0
3,0
-,0
E,0
1,0
 ,0
培,0
养,0
液,0
中,0
加,0
入,0
 ,0
0,B-Amount
.,I-Amount
 ,I-Amount
1,I-Amount
 ,I-Amount
m,I-Amount
g,I-Amount
 ,I-Amount
/,I-Amount
 ,I-Amount
m,I-Amount
l,I-Amount
 ,0
的,0
不,0
同,0
浓,0
度,0
的,0
"
",0
糖,B-Anatomy
化,I-Anatomy
 ,I-Anatomy
L,I-Anatomy
D,I-Anatomy
L,I-Anatomy
",",0
分,0
别,0
培,0
养,0
 ,0
2,0
4,0
、,0
4,0
8,0
、,0
7,0
2,0
 ,0
h,0
 ,0
后,0
应,0
用,0
 ,0
C,0
C,0
K,0
-,0
8,0
 ,0
检,0
测,0
其,0
对,0
成,B-Anatomy
骨,I-Anatomy
细,I-Anatomy
胞,I-Anatomy
增,0
殖,0
的,0
影,0
响,0
",",0
采,0
用,0
 ,0
E,0
L,0
I,0
S,0
A,0
 ,0
法,0
检,0
测,0
成,B-Anatomy
骨,I-Anatomy
细,I-Anatomy
胞,I-Anatomy
"
",0
骨,B-Test
钙,I-Test
素,I-Test
水,0
平,0
;,0
采,0
用,0
 ,0
r,0
e,0
a,0
l,0
t,0
i,0
m,0
e,0
 ,0
P,B-Test
C,I-Test
R,I-Test
 ,0
方,0
法,0
检,0
测,0
糖,B-Anatomy
化,I-Anatomy
 ,I-Anatomy
L,I-Anatomy
D,I-Anatomy
L,I-Anatomy
 ,0
对,0
成,B-Anatomy
骨,I-Anatomy
细,I-Anatomy
胞,I-Anatomy
 ,0
L,B-Anatomy
R,I-Anatomy
P,I-Anatomy
5,I-Anatomy
、,0
D,B-Anatomy
K,I-Anatomy
K,I-Anatomy
1,I-Anatomy
 ,I-Anatomy
基,I-Anatomy
因,I-Anatomy
表,0
达,0
的,0
影,0
响,0
。,0
 ,0
结,0
果,0
 ,0
在,0
"
",0
L,B-Anatomy
D,I-Anatomy
L,I-Anatomy
 ,0
糖,0
化,0
浓,0
度,0
为,0
 ,0
5,B-Test_Value
.,I-Test_Value
 ,I-Test_Value
3,I-Test_Value
%,I-Test_Value
 ,0
2,0
4,0
 ,0
h,0
 ,0
时,0
",",0
明,0
显,0
抑,0
制,0
成,B-Anatomy
骨,I-Anatomy
细,I-Anatomy
胞,I-Anatomy
的,0
增,0
殖,0
",",0
与,0
对,0
照,0
组,0
比,0
较,0
",",0
差,0
异,0
具,0
有,0
统,0
计,0
学,0
意,0
义,0
(,0
P,0
<,0
0,0
.,0
 ,0
0,0
1,0
),0
",",0
"
",0
L,B-Anatomy
D,I-Anatomy
L,I-Anatomy
 ,0
糖,0
化,0
越,0
高,0
",",0
对,0
成,B-Anatomy
骨,I-Anatomy
细,I-Anatomy
胞,I-Anatomy
增,0
殖,0
的,0
抑,0
制,0
越,0
明,0
显,0
",",0
在,0
一,0
定,0
的,0
时,0
间,0
和,0
浓,0
度,0
范,0
围,0
内,0
糖,B-Anatomy
化,I-Anatomy
 ,I-Anatomy
L,I-Anatomy
D,I-Anatomy
L,I-Anatomy
 ,0
对,0
成,B-Anatomy
骨,I-Anatomy
细,I-Anatomy
胞,I-Anatomy
增,0
殖,0
的,0
作,0
"
",0
用,0
呈,0
剂,0
量,0
及,0
时,0
间,0
依,0
赖,0
性,0
;,0
与,0
对,0
照,0
组,0
比,0
较,0
",",0
糖,B-Anatomy
化,I-Anatomy
 ,I-Anatomy
L,I-Anatomy
D,I-Anatomy
L,I-Anatomy
 ,0
明,0
显,0
抑,0
制,0
成,B-Anatomy
骨,I-Anatomy
细,I-Anatomy
胞,I-Anatomy
中,0
的,0
骨,B-Test
钙,I-Test
素,I-Test
表,0
达,0
",",0
差,0
异,0
具,0
有,0
统,0
计,0
学,0
意,0
"
",0
义,0
(,0
P,0
<,0
0,0
.,0
 ,0
0,0
1,0
),0
",",0
糖,B-Anatomy
化,I-Anatomy
 ,I-Anatomy
L,I-Anatomy
D,I-Anatomy
L,I-Anatomy
 ,0
对,0
成,B-Anatomy
骨,I-Anatomy
细,I-Anatomy
胞,I-Anatomy
骨,B-Test
钙,I-Test
素,I-Test
表,0
达,0
的,0
作,0
用,0
在,0
一,0
定,0
程,0
度,0
上,0
具,0
有,0
剂,0
量,0
及,0
作,0
用,0
时,0
间,0
依,0
赖,0
性,0
;,0
5,B-Test_Value
.,I-Test_Value
 ,I-Test_Value
3,I-Test_Value
%,I-Test_Value
 ,0
糖,B-Anatomy
"
",I-Anatomy
化,I-Anatomy
 ,I-Anatomy
L,I-Anatomy
D,I-Anatomy
L,I-Anatomy
 ,0
在,0
 ,0
4,0
8,0
 ,0
h,0
 ,0
时,0
明,0
显,0
下,0
调,0
成,B-Anatomy
骨,I-Anatomy
细,I-Anatomy
胞,I-Anatomy
中,0
的,0
 ,0
L,B-Anatomy
R,I-Anatomy
P,I-Anatomy
5,I-Anatomy
 ,0
m,0
R,0
N,0
A,0
 ,0
表,0
达,0
水,0
平,0
",",0
显,0
著,0
上,0
调,0
 ,0
D,B-Anatomy
K,I-Anatomy
K,I-Anatomy
1,I-Anatomy
 ,0
m,0
R,0
N,0
A,0
 ,0
表,0
达,0
水,0
平,0
",",0
与,0
对,0
照,0
"
",0
组,0
比,0
较,0
",",0
差,0
异,0
具,0
有,0
统,0
计,0
学,0
意,0
义,0
(,0
P,0
<,0
0,0
.,0
 ,0
0,0
1,0
),0
。,0
 ,0
结,0
论,0
 ,0
糖,B-Anatomy
化,I-Anatomy
 ,I-Anatomy
L,I-Anatomy
D,I-Anatomy
L,I-Anatomy
 ,0
显,0
著,0
抑,0
制,0
成,B-Anatomy
骨,I-Anatomy
细,I-Anatomy
胞,I-Anatomy
的,0
增,0
殖,0
和,0
分,0
化,0
",",0
这,0
可,0
能,0
与,0
"
",0
W,0
n,0
t,0
 ,0
信,0
号,0
通,0
路,0
中,0
 ,0
L,B-Anatomy
R,I-Anatomy
P,I-Anatomy
5,I-Anatomy
 ,0
及,0
 ,0
D,B-Anatomy
K,I-Anatomy
K,I-Anatomy
1,I-Anatomy
 ,I-Anatomy
基,I-Anatomy
因,I-Anatomy
表,0
达,0
有,0
关,0
。,0
"
",0
[,0
关,0
键,0
词,0
],0
 ,0
 ,0
 ,0
低,B-Test
密,I-Test
度,I-Test
脂,I-Test
蛋,I-Test
白,I-Test
;,0
 ,0
成,B-Anatomy
骨,I-Anatomy
细,I-Anatomy
胞,I-Anatomy
;,0
 ,0
低,B-Test
密,I-Test
度,I-Test
脂,I-Test
蛋,I-Test
白,I-Test
相,0
关,0
蛋,0
白,0
 ,0
5,0
;,0
 ,0
D,0
K,0
K,0
1,0
;,0
 ,0
W,0
n,0
t,0
 ,0
信,0
号,0
通,0
路,0
"
",0
E,0
f,0
f,0
e,0
c,0
t,0
s,0
 ,0
o,0
f,0
 ,0
g,0
l,0
y,0
c,0
a,0
t,0
e,0
d,0
 ,0
l,0
o,0
w,0
 ,0
d,0
e,0
n,0
s,0
i,0
t,0
y,0
 ,0
l,0
i,0
p,0
o,0
p,0
r,0
o,0
t,0
e,0
i,0
n,0
 ,0
o,0
n,0
 ,0
t,0
h,0
e,0
 ,0
p,0
r,0
o,0
l,0
i,0
f,0
e,0
r,0
a,0
t,0
i,0
o,0
n,0
 ,0
a,0
n,0
d,0
 ,0
d,0
i,0
f,0
f,0
e,0
r,0
e,0
n,0
t,0
i,0
a,0
t,0
i,0
o,0
n,0
 ,0
a,0
n,0
d,0
 ,0
e,0
x,0
p,0
r,0
e,0
s,0
s,0
i,0
o,0
n,0
 ,0
o,0
f,0
 ,0
l,0
o,0
w,0
-,0
"
",0
d,0
e,0
n,0
s,0
i,0
t,0
y,0
 ,0
l,0
i,0
p,0
o,0
p,0
r,0
o,0
t,0
e,0
i,0
n,0
 ,0
r,0
e,0
c,0
e,0
p,0
t,0
o,0
r,0
-,0
r,0
e,0
l,0
a,0
t,0
e,0
d,0
 ,0
p,0
r,0
o,0
t,0
e,0
i,0
n,0
-,0
5,0
 ,0
m,0
R,0
N,0
A,0
",",0
 ,0
d,0
i,0
c,0
k,0
k,0
o,0
p,0
f,0
-,0
1,0
 ,0
m,0
R,0
N,0
A,0
 ,0
i,0
n,0
 ,0
m,0
o,0
u,0
s,0
e,0
 ,0
o,0
s,0
t,0
e,0
o,0
b,0
l,0
a,0
s,0
t,0
s,0
 ,0
X,0
i,0
o,0
n,0
g,0
"
",0
Y,0
a,0
n,0
q,0
i,0
n,0
*,0
",",0
 ,0
S,0
u,0
n,0
 ,0
X,0
i,0
a,0
n,0
g,0
h,0
u,0
a,0
",",0
 ,0
Z,0
h,0
a,0
n,0
g,0
 ,0
K,0
e,0
q,0
i,0
n,0
",",0
 ,0
Z,0
h,0
o,0
u,0
 ,0
Y,0
u,0
n,0
",",0
 ,0
Z,0
h,0
a,0
n,0
g,0
 ,0
X,0
i,0
u,0
z,0
h,0
e,0
n,0
g,0
",",0
 ,0
L,0
e,0
i,0
 ,0
T,0
a,0
o,0
.,0
 ,0
*,0
D,0
e,0
p,0
a,0
r,0
t,0
m,0
e,0
n,0
t,0
 ,0
o,0
f,0
 ,0
E,0
n,0
d,0
o,0
c,0
r,0
i,0
n,0
o,0
l,0
o,0
g,0
y,0
",",0
"
",0
S,0
h,0
a,0
n,0
g,0
h,0
a,0
i,0
 ,0
T,0
o,0
n,0
g,0
j,0
i,0
 ,0
H,0
o,0
s,0
p,0
i,0
t,0
a,0
l,0
",",0
 ,0
S,0
h,0
a,0
n,0
g,0
h,0
a,0
i,0
 ,0
2,0
0,0
0,0
0,0
6,0
5,0
",",0
 ,0
C,0
h,0
i,0
n,0
a,0
"
",0
[,0
A,0
b,0
s,0
t,0
r,0
a,0
c,0
t,0
],0
 ,0
 ,0
 ,0
O,0
b,0
j,0
e,0
c,0
t,0
i,0
v,0
e,0
 ,0
 ,0
 ,0
T,0
h,0
e,0
 ,0
a,0
i,0
m,0
 ,0
o,0
f,0
 ,0
t,0
h,0
i,0
s,0
 ,0
s,0
t,0
u,0
d,0
y,0
 ,0
w,0
a,0
s,0
 ,0
t,0
o,0
 ,0
i,0
n,0
v,0
e,0
s,0
t,0
i,0
g,0
a,0
t,0
e,0
 ,0
t,0
h,0
e,0
 ,0
p,0
o,0
s,0
s,0
i,0
b,0
l,0
e,0
 ,0
e,0
f,0
f,0
e,0
c,0
t,0
 ,0
o,0
f,0
 ,0
g,0
l,0
y,0
c,0
a,0
t,0
e,0
d,0
 ,0
l,0
o,0
w,0
 ,0
d,0
e,0
n,0
s,0
i,0
t,0
y,0
"
",0
l,0
i,0
p,0
o,0
p,0
r,0
o,0
t,0
e,0
i,0
n,0
 ,0
(,0
 ,0
L,B-Test
D,I-Test
L,I-Test
),0
 ,0
o,0
n,0
 ,0
t,0
h,0
e,0
 ,0
p,0
r,0
o,0
l,0
i,0
f,0
e,0
r,0
a,0
t,0
i,0
o,0
n,0
",",0
 ,0
d,0
i,0
f,0
f,0
e,0
r,0
e,0
n,0
t,0
i,0
a,0
t,0
i,0
o,0
n,0
",",0
 ,0
a,0
n,0
d,0
 ,0
e,0
x,0
p,0
r,0
e,0
s,0
s,0
i,0
o,0
n,0
 ,0
o,0
f,0
 ,0
l,0
o,0
w,0
-,0
d,0
e,0
n,0
s,0
i,0
t,0
y,0
 ,0
l,0
i,0
p,0
o,0
p,0
r,0
o,0
t,0
e,0
i,0
n,0
 ,0
r,0
e,0
c,0
e,0
p,0
t,0
o,0
r,0
-,0
r,0
e,0
l,0
a,0
t,0
e,0
d,0
"
",0
p,0
r,0
o,0
t,0
e,0
i,0
n,0
 ,0
5,0
 ,0
(,0
L,0
R,0
P,0
5,0
),0
 ,0
m,0
R,0
N,0
A,0
",",0
 ,0
d,0
i,0
c,0
k,0
k,0
o,0
p,0
f,0
-,0
1,0
 ,0
(,0
D,0
K,0
K,0
1,0
),0
 ,0
m,0
R,0
N,0
A,0
 ,0
i,0
n,0
 ,0
m,0
o,0
u,0
s,0
e,0
 ,0
o,0
s,0
t,0
e,0
o,0
b,0
l,0
a,0
s,0
t,0
s,0
(,0
M,0
C,0
3,0
T,0
3,0
-,0
E,0
1,0
 ,0
c,0
e,0
l,0
l,0
s,0
),0
 ,0
.,0
 ,0
W,0
h,0
e,0
t,0
h,0
e,0
r,0
 ,0
t,0
h,0
e,0
 ,0
W,0
n,0
t,0
"
",0
s,0
i,0
g,0
n,0
a,0
l,0
i,0
n,0
g,0
 ,0
p,0
a,0
t,0
h,0
w,0
a,0
y,0
 ,0
w,0
a,0
s,0
 ,0
i,0
n,0
v,0
o,0
l,0
v,0
e,0
d,0
 ,0
i,0
n,0
 ,0
t,0
h,0
e,0
 ,0
a,0
b,0
o,0
v,0
e,0
 ,0
p,0
r,0
o,0
c,0
e,0
s,0
s,0
 ,0
w,0
a,0
s,0
 ,0
e,0
x,0
p,0
l,0
o,0
r,0
e,0
d,0
 ,0
e,0
l,0
s,0
e,0
.,0
 ,0
M,0
e,0
t,0
h,0
o,0
d,0
s,0
 ,0
M,0
o,0
u,0
s,0
e,0
 ,0
M,0
C,0
3,0
T,0
3,0
-,0
E,0
1,0
 ,0
c,0
e,0
l,0
l,0
s,0
 ,0
w,0
e,0
r,0
e,0
"
",0
c,0
u,0
l,0
t,0
u,0
r,0
e,0
d,0
 ,0
w,0
i,0
t,0
h,0
 ,0
v,0
a,0
r,0
i,0
o,0
u,0
s,0
 ,0
c,0
o,0
n,0
c,0
e,0
n,0
t,0
r,0
a,0
t,0
i,0
o,0
n,0
s,0
 ,0
o,0
f,0
 ,0
g,0
l,0
y,0
c,0
a,0
t,0
e,0
d,0
 ,0
L,B-Test
D,I-Test
L,I-Test
(,0
g,0
l,0
y,0
c,0
a,0
t,0
e,0
d,0
 ,0
L,B-Test
D,I-Test
L,I-Test
 ,0
l,0
e,0
v,0
e,0
l,0
 ,0
w,0
a,0
s,0
 ,0
2,0
.,0
 ,0
4,0
%,0
 ,0
",",0
5,0
.,0
 ,0
3,0
%,0
 ,0
",",0
8,0
.,0
 ,0
7,0
%,0
 ,0
",",0
1,0
3,0
.,0
 ,0
9,0
%,0
 ,0
),0
 ,0
f,0
o,0
r,0
 ,0
2,0
4,0
",",0
"
",0
4,0
8,0
",",0
 ,0
7,0
2,0
 ,0
h,0
.,0
 ,0
P,0
r,0
o,0
l,0
i,0
f,0
e,0
r,0
a,0
t,0
i,0
o,0
n,0
 ,0
o,0
f,0
 ,0
M,0
C,0
3,0
T,0
3,0
-,0
E,0
1,0
 ,0
c,0
e,0
l,0
l,0
 ,0
w,0
a,0
s,0
 ,0
m,0
e,0
a,0
s,0
u,0
r,0
e,0
d,0
 ,0
b,0
y,0
 ,0
C,0
C,0
K,0
-,0
8,0
",",0
 ,0
t,0
h,0
e,0
 ,0
o,0
s,0
t,0
e,0
o,0
c,0
a,0
l,0
c,0
i,0
n,0
 ,0
l,0
e,0
v,0
e,0
l,0
 ,0
i,0
n,0
 ,0
t,0
h,0
e,0
 ,0
m,0
e,0
d,0
i,0
u,0
m,0
 ,0
w,0
a,0
s,0
"
",0
d,0
e,0
t,0
e,0
r,0
m,0
i,0
n,0
e,0
d,0
 ,0
b,0
y,0
 ,0
E,0
L,0
I,0
S,0
A,0
 ,0
a,0
n,0
d,0
 ,0
t,0
h,0
e,0
 ,0
e,0
x,0
p,0
r,0
e,0
s,0
s,0
i,0
o,0
n,0
 ,0
o,0
f,0
 ,0
L,0
R,0
P,0
5,0
 ,0
m,0
R,0
N,0
A,0
",",0
 ,0
D,0
K,0
K,0
1,0
 ,0
m,0
R,0
N,0
A,0
 ,0
w,0
a,0
s,0
 ,0
m,0
e,0
a,0
s,0
u,0
r,0
e,0
d,0
 ,0
b,0
y,0
 ,0
r,0
e,0
a,0
l,0
t,0
i,0
m,0
e,0
 ,0
P,0
C,0
R,0
.,0
 ,0
R,0
e,0
s,0
u,0
l,0
t,0
s,0
"
",0
A,0
f,0
t,0
e,0
r,0
 ,0
c,0
e,0
l,0
l,0
s,0
 ,0
b,0
e,0
i,0
n,0
g,0
 ,0
i,0
n,0
c,0
u,0
b,0
a,0
t,0
e,0
d,0
 ,0
w,0
i,0
t,0
h,0
 ,0
5,0
.,0
 ,0
3,0
%,0
 ,0
o,0
f,0
 ,0
g,0
l,0
y,0
c,0
a,0
t,0
e,0
d,0
 ,0
L,B-Test
D,I-Test
L,I-Test
 ,0
f,0
o,0
r,0
 ,0
2,0
4,0
 ,0
h,0
",",0
 ,0
t,0
h,0
e,0
 ,0
i,0
n,0
h,0
i,0
b,0
i,0
t,0
i,0
o,0
n,0
 ,0
o,0
f,0
 ,0
M,0
C,0
3,0
T,0
3,0
-,0
E,0
1,0
 ,0
c,0
e,0
l,0
l,0
s,0
 ,0
w,0
a,0
s,0
 ,0
m,0
o,0
r,0
e,0
 ,0
m,0
a,0
r,0
k,0
e,0
d,0
"
",0
t,0
h,0
a,0
n,0
 ,0
t,0
h,0
a,0
t,0
 ,0
i,0
n,0
 ,0
c,0
o,0
n,0
t,0
r,0
o,0
l,0
 ,0
g,0
r,0
o,0
u,0
p,0
(,0
P,0
<,0
0,0
.,0
 ,0
0,0
1,0
),0
 ,0
.,0
 ,0
T,0
h,0
e,0
 ,0
h,0
i,0
g,0
h,0
e,0
r,0
 ,0
g,0
l,0
y,0
c,0
a,0
t,0
e,0
d,0
 ,0
L,B-Test
D,I-Test
L,I-Test
 ,0
l,0
e,0
v,0
e,0
l,0
",",0
 ,0
t,0
h,0
e,0
 ,0
s,0
e,0
v,0
e,0
r,0
e,0
r,0
 ,0
t,0
h,0
e,0
 ,0
i,0
n,0
h,0
i,0
b,0
i,0
t,0
i,0
o,0
n,0
.,0
 ,0
T,0
h,0
e,0
 ,0
e,0
f,0
f,0
e,0
c,0
t,0
 ,0
o,0
f,0
 ,0
L,B-Test
D,I-Test
L,I-Test
 ,0
o,0
n,0
"
",0
t,0
h,0
e,0
 ,0
M,0
C,0
3,0
T,0
3,0
-,0
E,0
1,0
 ,0
c,0
e,0
l,0
l,0
 ,0
p,0
r,0
o,0
l,0
i,0
f,0
e,0
r,0
a,0
t,0
i,0
o,0
n,0
 ,0
w,0
a,0
s,0
 ,0
t,0
i,0
m,0
e,0
-,0
 ,0
a,0
n,0
d,0
 ,0
d,0
o,0
s,0
e,0
-,0
d,0
e,0
p,0
e,0
n,0
d,0
e,0
n,0
t,0
 ,0
u,0
n,0
d,0
e,0
r,0
 ,0
c,0
e,0
r,0
t,0
a,0
i,0
n,0
 ,0
c,0
o,0
n,0
d,0
i,0
t,0
i,0
o,0
n,0
s,0
.,0
 ,0
O,0
s,0
t,0
e,0
o,0
c,0
a,0
l,0
c,0
i,0
n,0
 ,0
l,0
e,0
v,0
e,0
l,0
 ,0
i,0
n,0
 ,0
c,0
e,0
l,0
l,0
"
",0
c,0
u,0
l,0
t,0
u,0
r,0
e,0
 ,0
f,0
l,0
u,0
i,0
d,0
 ,0
w,0
i,0
t,0
h,0
 ,0
g,0
l,0
y,0
c,0
a,0
t,0
e,0
d,0
 ,0
L,B-Test
D,I-Test
L,I-Test
 ,0
w,0
a,0
s,0
 ,0
l,0
o,0
w,0
e,0
r,0
e,0
d,0
 ,0
s,0
i,0
g,0
n,0
i,0
f,0
i,0
c,0
a,0
n,0
t,0
l,0
y,0
 ,0
c,0
o,0
m,0
p,0
a,0
r,0
e,0
d,0
 ,0
w,0
i,0
t,0
h,0
 ,0
c,0
o,0
n,0
t,0
r,0
o,0
l,0
 ,0
g,0
r,0
o,0
u,0
p,0
.,0
 ,0
M,0
e,0
a,0
n,0
w,0
h,0
i,0
l,0
e,0
",",0
 ,0
t,0
h,0
e,0
 ,0
e,0
x,0
p,0
r,0
e,0
s,0
s,0
i,0
o,0
n,0
 ,0
o,0
f,0
"
",0
D,0
K,0
K,0
1,0
 ,0
m,0
R,0
N,0
A,0
 ,0
w,0
a,0
s,0
 ,0
i,0
n,0
c,0
r,0
e,0
a,0
s,0
e,0
d,0
 ,0
s,0
i,0
g,0
n,0
i,0
f,0
i,0
c,0
a,0
n,0
t,0
l,0
y,0
 ,0
b,0
u,0
t,0
 ,0
e,0
x,0
p,0
r,0
e,0
s,0
s,0
i,0
o,0
n,0
 ,0
o,0
f,0
 ,0
L,0
R,0
P,0
5,0
 ,0
m,0
R,0
N,0
A,0
 ,0
d,0
e,0
c,0
r,0
e,0
a,0
s,0
e,0
d,0
 ,0
(,0
P,0
<,0
0,0
.,0
 ,0
0,0
1,0
),0
 ,0
i,0
n,0
 ,0
M,0
C,0
3,0
T,0
3,0
-,0
E,0
1,0
 ,0
c,0
e,0
l,0
l,0
s,0
"
",0
c,0
u,0
l,0
t,0
u,0
r,0
e,0
d,0
 ,0
w,0
i,0
t,0
h,0
 ,0
5,0
.,0
 ,0
3,0
%,0
 ,0
o,0
f,0
 ,0
g,0
l,0
y,0
c,0
a,0
t,0
e,0
d,0
 ,0
L,B-Test
D,I-Test
L,I-Test
 ,0
f,0
o,0
r,0
 ,0
2,0
4,0
 ,0
h,0
.,0
 ,0
C,0
o,0
n,0
c,0
l,0
u,0
s,0
i,0
o,0
n,0
s,0
 ,0
P,0
r,0
o,0
l,0
i,0
f,0
e,0
r,0
a,0
t,0
i,0
o,0
n,0
 ,0
a,0
n,0
d,0
 ,0
d,0
i,0
f,0
f,0
e,0
r,0
e,0
n,0
t,0
i,0
a,0
t,0
i,0
o,0
n,0
 ,0
o,0
f,0
 ,0
t,0
h,0
e,0
 ,0
o,0
s,0
t,0
e,0
o,0
b,0
l,0
a,0
s,0
t,0
s,0
 ,0
i,0
n,0
 ,0
m,0
i,0
c,0
e,0
"
",0
c,0
a,0
n,0
 ,0
b,0
e,0
 ,0
i,0
n,0
h,0
i,0
b,0
i,0
t,0
e,0
d,0
 ,0
s,0
i,0
g,0
n,0
i,0
f,0
i,0
c,0
a,0
n,0
t,0
l,0
y,0
 ,0
b,0
y,0
 ,0
g,0
l,0
y,0
c,0
a,0
t,0
e,0
d,0
 ,0
L,0
D,0
L,0
.,0
 ,0
T,0
h,0
e,0
 ,0
p,0
o,0
s,0
s,0
i,0
b,0
l,0
e,0
 ,0
m,0
e,0
c,0
h,0
a,0
n,0
i,0
s,0
m,0
 ,0
i,0
n,0
 ,0
t,0
h,0
e,0
 ,0
r,0
o,0
l,0
e,0
 ,0
p,0
l,0
a,0
y,0
e,0
d,0
 ,0
b,0
y,0
 ,0
g,0
l,0
y,0
c,0
a,0
t,0
e,0
d,0
 ,0
L,B-Test
D,I-Test
L,I-Test
 ,0
o,0
n,0
 ,0
t,0
h,0
e,0
"
",0
p,0
r,0
o,0
l,0
i,0
f,0
e,0
r,0
a,0
t,0
i,0
o,0
n,0
 ,0
a,0
n,0
d,0
 ,0
d,0
i,0
f,0
f,0
e,0
r,0
e,0
n,0
t,0
i,0
a,0
t,0
i,0
o,0
n,0
 ,0
i,0
n,0
 ,0
M,0
C,0
3,0
T,0
3,0
-,0
E,0
1,0
 ,0
c,0
e,0
l,0
l,0
s,0
 ,0
s,0
e,0
e,0
m,0
s,0
 ,0
t,0
o,0
 ,0
b,0
e,0
 ,0
r,0
e,0
l,0
a,0
t,0
e,0
d,0
 ,0
t,0
o,0
 ,0
e,0
x,0
p,0
r,0
e,0
s,0
s,0
i,0
o,0
n,0
 ,0
o,0
f,0
 ,0
L,0
R,0
P,0
5,0
 ,0
m,0
R,0
N,0
A,0
",",0
 ,0
D,0
K,0
K,0
1,0
 ,0
m,0
R,0
N,0
A,0
 ,0
i,0
n,0
"
",0
t,0
h,0
e,0
 ,0
W,0
n,0
t,0
 ,0
s,0
i,0
g,0
n,0
a,0
l,0
i,0
n,0
g,0
 ,0
p,0
a,0
t,0
h,0
w,0
a,0
y,0
.,0
"
",0
[,0
K,0
e,0
y,0
 ,0
w,0
o,0
r,0
d,0
s,0
],0
 ,0
 ,0
 ,0
L,0
o,0
w,0
 ,0
d,0
e,0
n,0
s,0
i,0
t,0
y,0
 ,0
l,0
i,0
p,0
o,0
p,0
r,0
o,0
t,0
e,0
i,0
n,0
;,0
 ,0
O,0
s,0
t,0
e,0
o,0
b,0
l,0
a,0
s,0
t,0
;,0
 ,0
L,0
o,0
w,0
 ,0
d,0
e,0
n,0
s,0
i,0
t,0
y,0
 ,0
l,0
i,0
p,0
o,0
p,0
r,0
o,0
t,0
e,0
i,0
n,0
 ,0
r,0
e,0
c,0
e,0
p,0
t,0
o,0
r,0
-,0
r,0
e,0
l,0
a,0
t,0
e,0
d,0
 ,0
p,0
r,0
o,0
t,0
e,0
i,0
n,0
 ,0
5,0
;,0
"
",0
D,0
i,0
c,0
k,0
k,0
o,0
p,0
f,0
-,0
1,0
;,0
 ,0
W,0
n,0
t,0
 ,0
s,0
i,0
g,0
n,0
a,0
l,0
i,0
n,0
g,0
