通,B-SideEff
学,0
证,0
据,0
的,0
进,0
展,0
",",0
对,0
2,0
0,0
0,0
4,0
年,0
版,0
"
",0
《,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
临,0
床,0
应,0
用,0
专,0
家,0
共,0
识,0
》,0
进,0
行,0
了,0
更,0
新,0
。,0
新,0
"
",0
版,0
共,0
识,0
采,0
用,0
问,0
答,0
的,0
形,0
式,0
阐,0
明,0
了,0
当,0
前,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
的,0
临,0
"
",0
床,0
地,0
位,0
、,0
作,0
用,0
机,0
制,0
、,0
疗,0
效,0
、,0
安,0
全,0
性,0
以,0
及,0
特,0
殊,0
人,0
群,0
用,0
"
",0
药,0
等,0
问,0
题,0
。,0
主,0
要,0
推,0
荐,0
意,0
见,0
见,0
表,0
1,0
。,0
"
",0
"
",0
1,0
 ,0
 ,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
的,0
临,0
床,0
地,0
位,0
和,0
使,0
用,0
时,0
机,0
"
",0
1,0
.,0
1,0
 ,0
国,0
内,0
外,0
指,0
南,0
如,0
何,0
推,0
荐,0
使,0
用,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
?,0
"
",0
尽,0
管,0
近,0
年,0
来,0
新,0
型,0
降,0
糖,0
药,0
物,0
不,0
断,0
问,0
世,0
",",0
但,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
"
",I-Drug
物,I-Drug
因,0
临,0
床,0
应,0
用,0
时,0
间,0
长,0
、,0
疗,0
效,0
确,0
切,0
",",0
仍,0
被,0
多,0
个,0
国,0
内,0
外,0
成,0
"
",0
人,0
T,B-Disease
2,I-Disease
D,I-Disease
M,I-Disease
防,0
治,0
指,0
南,0
推,0
荐,0
为,0
一,0
线,0
备,0
选,0
或,0
二,0
线,0
降,0
糖,0
用,0
药,0
。,0
"
",0
2,0
0,0
1,0
3,0
年,0
版,0
《,0
中,0
国,0
2,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
防,0
治,0
指,0
南,0
》,0
[,0
1,0
],0
推,0
荐,0
"
",0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
为,0
重,0
要,0
的,0
一,0
线,0
备,0
选,0
和,0
二,0
线,0
降,0
糖,0
药,0
物,0
",",0
"
",0
可,0
作,0
为,0
二,B-Disease
甲,I-Disease
双,I-Disease
胍,I-Disease
不,I-Disease
耐,I-Disease
受,I-Disease
或,0
存,0
在,0
禁,0
忌,0
证,0
者,0
的,0
起,0
始,0
治,0
"
",0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
临,0
床,0
应,0
用,0
专,0
家,0
共,0
识,0
(,0
2,0
0,0
1,0
6,0
年,0
版,0
),0
"
",0
母,0
义,0
明,0
1,0
*,0
",",0
杨,0
文,0
英,0
2,0
",",0
朱,0
大,0
龙,0
3,0
",",0
余,0
学,0
锋,0
4,0
",",0
童,0
南,0
伟,0
5,0
",",0
石,0
勇,0
铨,0
6,0
",",0
李,0
焱,0
7,0
",",0
郭,0
立,0
新,0
8,0
",",0
姬,0
秋,0
和,0
9,0
",",0
陈,0
璐,0
璐,0
1,0
0,0
",",0
肖,0
新,0
华,0
1,0
1,0
",",0
李,0
延,0
兵,0
1,0
2,0
",",0
尹,0
士,0
男,0
1,0
3,0
",",0
"
",0
李,0
全,0
民,0
1,0
4,0
",",0
徐,0
向,0
进,0
1,0
5,0
",",0
向,0
光,0
大,0
1,0
6,0
",",0
祝,0
开,0
思,0
1,0
7,0
"
",0
1,0
.,0
 ,0
解,0
放,0
军,0
总,0
医,0
院,0
内,0
分,0
泌,0
科,0
",",0
北,0
京,0
 ,0
1,0
0,0
0,0
8,0
5,0
3,0
;,0
2,0
.,0
 ,0
中,0
日,0
友,0
好,0
医,0
院,0
内,0
分,0
泌,0
代,0
谢,0
中,0
心,0
",",0
北,0
京,0
 ,0
1,0
0,0
0,0
0,0
2,0
9,0
;,0
3,0
.,0
 ,0
南,0
京,0
鼓,0
楼,0
医,0
院,0
内,0
分,0
泌,0
科,0
",",0
江,0
苏,0
 ,0
南,0
京,0
 ,0
2,0
1,0
0,0
0,0
0,0
0,0
;,0
"
",0
4,0
.,0
 ,0
华,0
中,0
科,0
技,0
大,0
学,0
同,0
济,0
医,0
学,0
院,0
附,0
属,0
同,0
济,0
医,0
院,0
内,0
分,0
泌,0
科,0
",",0
湖,0
北,0
 ,0
武,0
汉,0
 ,0
4,0
3,0
0,0
0,0
3,0
0,0
;,0
5,0
.,0
 ,0
四,0
川,0
大,0
学,0
华,0
西,0
医,0
院,0
内,0
分,0
泌,0
代,0
谢,0
科,0
",",0
四,0
川,0
 ,0
成,0
都,0
 ,0
6,0
1,0
0,0
0,0
4,0
1,0
;,0
6,0
.,0
 ,0
第,0
二,0
"
",0
军,0
医,0
大,0
学,0
附,0
属,0
长,0
征,0
医,0
院,0
内,0
分,0
泌,0
科,0
",",0
上,0
海,0
 ,0
2,0
0,0
0,0
4,0
3,0
3,0
;,0
7,0
.,0
 ,0
中,0
山,0
大,0
学,0
孙,0
≥,0
仙,0
纪,0
念,0
医,0
院,0
内,0
分,0
泌,0
科,0
",",0
广,0
东,0
 ,0
广,0
州,0
 ,0
5,0
1,0
0,0
1,0
2,0
0,0
;,0
8,0
.,0
 ,0
卫,0
生,0
部,0
北,0
京,0
医,0
院,0
内,0
分,0
泌,0
科,0
",",0
"
",0
北,0
京,0
 ,0
1,0
0,0
0,0
7,0
3,0
0,0
;,0
9,0
.,0
 ,0
第,0
四,0
军,0
医,0
大,0
学,0
西,0
京,0
医,0
院,0
内,0
分,0
泌,0
科,0
",",0
陕,0
西,0
 ,0
西,0
安,0
 ,0
7,0
1,0
0,0
0,0
3,0
2,0
;,0
1,0
0,0
.,0
 ,0
华,0
中,0
科,0
技,0
大,0
学,0
同,0
济,0
医,0
学,0
院,0
附,0
属,0
协,0
和,0
医,0
院,0
内,0
分,0
泌,0
科,0
",",0
湖,0
北,0
 ,0
武,0
汉,0
"
",0
4,0
3,0
0,0
0,0
3,0
0,0
;,0
1,0
1,0
.,0
 ,0
北,0
京,0
协,0
和,0
医,0
院,0
内,0
分,0
泌,0
科,0
",",0
北,0
京,0
 ,0
1,0
0,0
0,0
7,0
3,0
0,0
;,0
1,0
2,0
.,0
 ,0
中,0
山,0
大,0
学,0
附,0
属,0
第,0
一,0
医,0
院,0
内,0
分,0
泌,0
科,0
",",0
广,0
东,0
 ,0
广,0
州,0
 ,0
5,0
1,0
0,0
0,0
0,0
0,0
;,0
1,0
3,0
.,0
 ,0
解,0
放,0
军,0
总,0
医,0
院,0
附,0
属,0
第,0
一,0
医,0
"
",0
院,0
内,0
分,0
泌,0
科,0
",",0
北,0
京,0
 ,0
1,0
0,0
0,0
0,0
4,0
8,0
;,0
1,0
4,0
.,0
 ,0
火,0
箭,0
军,0
总,0
医,0
院,0
内,0
分,0
泌,0
科,0
",",0
北,0
京,0
 ,0
1,0
0,0
0,0
0,0
8,0
8,0
;,0
1,0
5,0
.,0
 ,0
南,0
京,0
军,0
区,0
福,0
州,0
总,0
医,0
院,0
内,0
分,0
泌,0
科,0
",",0
福,0
建,0
 ,0
福,0
州,0
 ,0
3,0
5,0
0,0
0,0
0,0
0,0
;,0
1,0
6,0
.,0
 ,0
广,0
州,0
军,0
"
",0
区,0
武,0
汉,0
总,0
医,0
院,0
内,0
分,0
泌,0
科,0
",",0
湖,0
北,0
 ,0
武,0
汉,0
 ,0
4,0
3,0
0,0
0,0
7,0
0,0
;,0
1,0
7,0
.,0
 ,0
解,0
放,0
军,0
第,0
3,0
0,0
5,0
医,0
院,0
内,0
分,0
泌,0
科,0
",",0
北,0
京,0
 ,0
1,0
0,0
0,0
0,0
1,0
7,0
"
",0
[,0
摘,0
要,0
],0
 ,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
是,0
发,0
现,0
最,0
早,0
和,0
使,0
用,0
最,0
广,0
泛,0
的,0
口,B-Drug
服,I-Drug
降,I-Drug
糖,I-Drug
药,I-Drug
物,I-Drug
之,0
一,0
",",0
在,0
国,0
内,0
外,0
2,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
管,0
理,0
指,0
南,0
中,0
处,0
于,0
非,0
常,0
重,0
要,0
的,0
地,0
位,0
。,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
可,0
以,0
"
",0
与,0
多,0
种,0
其,0
他,0
降,0
糖,0
药,0
物,0
联,0
合,0
应,0
用,0
",",0
且,0
可,0
作,0
为,0
治,0
疗,0
方,0
案,0
的,0
基,0
础,0
用,0
药,0
之,0
一,0
长,0
期,0
使,0
用,0
。,0
为,0
进,0
一,0
步,0
提,0
高,0
临,0
床,0
医,0
生,0
对,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
的,0
认,0
识,0
",",0
更,0
好,0
地,0
指,0
导,0
临,0
"
",0
床,0
合,0
理,0
用,0
药,0
",",0
内,0
分,0
泌,0
专,0
家,0
基,0
于,0
循,0
证,0
证,0
据,0
的,0
进,0
展,0
",",0
对,0
2,0
0,0
0,0
4,0
年,0
版,0
《,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
临,0
床,0
应,0
用,0
专,0
家,0
共,0
识,0
》,0
进,0
行,0
了,0
更,0
新,0
。,0
新,0
版,0
共,0
识,0
采,0
用,0
问,0
答,0
的,0
形,0
式,0
阐,0
明,0
"
",0
了,0
当,0
前,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
的,0
临,0
床,0
地,0
位,0
、,0
作,0
用,0
机,0
制,0
、,0
疗,0
效,0
、,0
安,0
全,0
性,0
以,0
及,0
特,0
殊,0
人,0
群,0
用,0
药,0
等,0
问,0
题,0
。,0
"
",0
[,0
关,0
键,0
词,0
],0
 ,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
;,0
共,0
识,0
;,0
临,0
床,0
应,0
用,0
"
",0
[,0
中,0
图,0
分,0
类,0
号,0
],0
 ,0
R,0
5,0
8,0
7,0
.,0
1,0
 ,0
[,0
文,0
献,0
标,0
识,0
码,0
],0
 ,0
 ,0
A,0
 ,0
[,0
文,0
章,0
编,0
号,0
],0
 ,0
1,0
6,0
7,0
2,0
-,0
2,0
8,0
0,0
9,0
(,0
2,0
0,0
1,0
7,0
),0
0,0
1,0
-,0
0,0
0,0
0,0
5,0
-,0
0,0
9,0
"
",0
C,0
h,0
i,0
n,0
e,0
s,0
e,0
 ,0
E,0
x,0
p,0
e,0
r,0
t,0
 ,0
C,0
o,0
n,0
s,0
e,0
n,0
s,0
u,0
s,0
 ,0
S,0
t,0
a,0
t,0
e,0
m,0
e,0
n,0
t,0
 ,0
o,0
n,0
 ,0
S,0
u,0
l,0
f,0
o,0
n,0
y,0
l,0
u,0
r,0
e,0
a,0
s,0
 ,0
i,0
n,0
 ,0
t,0
h,0
e,0
 ,0
C,0
l,0
i,0
n,0
i,0
c,0
a,0
l,0
 ,0
P,0
r,0
a,0
c,0
t,0
i,0
c,0
e,0
:,0
 ,0
 ,0
2,0
0,0
1,0
6,0
 ,0
U,0
p,0
d,0
a,0
t,0
e,0
d,0
"
",0
M,0
U,0
 ,0
Y,0
i,0
-,0
m,0
i,0
n,0
g,0
1,0
*,0
",",0
 ,0
Y,0
A,0
N,0
G,0
 ,0
W,0
e,0
n,0
-,0
y,0
i,0
n,0
g,0
2,0
",",0
 ,0
Z,0
H,0
U,0
 ,0
D,0
a,0
-,0
l,0
o,0
n,0
g,0
3,0
",",0
 ,0
e,0
t,0
 ,0
a,0
l,0
.,0
"
",0
1,0
.,0
 ,0
D,0
e,0
p,0
a,0
r,0
t,0
m,0
e,0
n,0
t,0
 ,0
o,0
f,0
 ,0
E,0
n,0
d,0
o,0
c,0
r,0
i,0
n,0
o,0
l,0
o,0
g,0
y,0
",",0
 ,0
P,0
e,0
o,0
p,0
l,0
e,0
s,0
 ,0
L,0
i,0
b,0
e,0
r,0
a,0
t,0
i,0
o,0
n,0
 ,0
A,0
r,0
m,0
y,0
 ,0
G,0
e,0
n,0
e,0
r,0
a,0
l,0
 ,0
H,0
o,0
s,0
p,0
i,0
t,0
a,0
l,0
",",0
 ,0
B,0
e,0
i,0
j,0
i,0
n,0
g,0
 ,0
1,0
0,0
0,0
8,0
5,0
3,0
",",0
 ,0
C,0
h,0
i,0
n,0
a,0
;,0
 ,0
2,0
.,0
 ,0
T,0
h,0
e,0
 ,0
E,0
n,0
d,0
o,0
c,0
r,0
i,0
n,0
o,0
l,0
o,0
g,0
y,0
 ,0
a,0
n,0
d,0
 ,0
M,0
e,0
t,0
a,0
b,0
o,0
l,0
i,0
s,0
m,0
 ,0
C,0
e,0
n,0
t,0
e,0
r,0
",",0
 ,0
C,0
h,0
i,0
n,0
a,0
-,0
"
",0
J,0
a,0
p,0
a,0
n,0
 ,0
F,0
r,0
i,0
e,0
n,0
d,0
s,0
h,0
i,0
p,0
 ,0
H,0
o,0
s,0
p,0
i,0
t,0
a,0
l,0
",",0
 ,0
B,0
e,0
i,0
j,0
i,0
n,0
g,0
 ,0
1,0
0,0
0,0
0,0
2,0
9,0
",",0
 ,0
C,0
h,0
i,0
n,0
a,0
;,0
 ,0
3,0
.,0
 ,0
D,0
e,0
p,0
a,0
r,0
t,0
m,0
e,0
n,0
t,0
 ,0
o,0
f,0
 ,0
E,0
n,0
d,0
o,0
c,0
r,0
i,0
n,0
o,0
l,0
o,0
g,0
y,0
",",0
 ,0
N,0
a,0
n,0
j,0
i,0
n,0
g,0
 ,0
D,0
r,0
u,0
m,0
 ,0
T,0
o,0
w,0
e,0
r,0
 ,0
H,0
o,0
s,0
p,0
i,0
t,0
a,0
l,0
;,0
 ,0
N,0
a,0
n,0
j,0
i,0
n,0
g,0
 ,0
J,0
i,0
a,0
n,0
g,0
S,0
u,0
 ,0
2,0
1,0
0,0
0,0
0,0
0,0
",",0
 ,0
C,0
h,0
i,0
n,0
a,0
;,0
 ,0
e,0
t,0
 ,0
a,0
l,0
.,0
"
",0
[,0
A,0
b,0
s,0
t,0
r,0
a,0
c,0
t,0
],0
 ,0
S,0
u,0
l,0
f,0
o,0
n,0
y,0
l,0
u,0
r,0
e,0
a,0
 ,0
i,0
s,0
 ,0
t,0
h,0
e,0
 ,0
f,0
i,0
r,0
s,0
t,0
 ,0
d,0
i,0
s,0
c,0
o,0
v,0
e,0
r,0
e,0
d,0
 ,0
a,0
n,0
d,0
 ,0
m,0
o,0
s,0
t,0
 ,0
w,0
i,0
d,0
e,0
l,0
y,0
-,0
u,0
s,0
e,0
d,0
 ,0
a,0
n,0
t,0
i,0
-,0
g,0
l,0
y,0
c,0
e,0
m,0
i,0
c,0
 ,0
a,0
g,0
e,0
n,0
t,0
 ,0
i,0
n,0
 ,0
c,0
l,0
i,0
n,0
i,0
c,0
s,0
",",0
 ,0
p,0
l,0
a,0
y,0
s,0
 ,0
a,0
n,0
 ,0
i,0
m,0
p,0
o,0
r,0
t,0
a,0
n,0
t,0
 ,0
r,0
o,0
l,0
e,0
 ,0
i,0
n,0
 ,0
d,0
o,0
m,0
e,0
s,0
t,0
i,0
c,0
 ,0
a,0
n,0
d,0
"
",0
i,0
n,0
t,0
e,0
r,0
n,0
a,0
t,0
i,0
o,0
n,0
a,0
l,0
 ,0
g,0
u,0
i,0
d,0
e,0
l,0
i,0
n,0
e,0
s,0
 ,0
f,0
o,0
r,0
 ,0
t,0
y,0
p,0
e,0
 ,0
2,0
 ,0
d,0
i,0
a,0
b,0
e,0
t,0
e,0
s,0
.,0
 ,0
T,0
h,0
e,0
 ,0
c,0
o,0
m,0
b,0
i,0
n,0
a,0
t,0
i,0
o,0
n,0
 ,0
a,0
d,0
m,0
i,0
n,0
i,0
s,0
t,0
r,0
a,0
t,0
i,0
o,0
n,0
 ,0
o,0
f,0
 ,0
s,0
u,0
l,0
f,0
o,0
n,0
y,0
l,0
u,0
r,0
e,0
a,0
s,0
 ,0
a,0
n,0
d,0
 ,0
o,0
t,0
h,0
e,0
r,0
 ,0
a,0
n,0
t,0
i,0
-,0
g,0
l,0
y,0
c,0
e,0
m,0
i,0
c,0
 ,0
a,0
g,0
e,0
n,0
t,0
s,0
 ,0
f,0
o,0
r,0
 ,0
b,0
a,0
s,0
i,0
c,0
 ,0
t,0
h,0
e,0
r,0
a,0
p,0
y,0
 ,0
i,0
n,0
"
",0
c,0
l,0
i,0
n,0
i,0
c,0
s,0
 ,0
h,0
a,0
s,0
 ,0
b,0
e,0
e,0
n,0
 ,0
w,0
i,0
d,0
e,0
l,0
y,0
 ,0
a,0
c,0
c,0
e,0
p,0
t,0
e,0
d,0
 ,0
f,0
o,0
r,0
 ,0
a,0
 ,0
l,0
o,0
n,0
g,0
 ,0
t,0
i,0
m,0
e,0
.,0
 ,0
T,0
o,0
 ,0
e,0
n,0
f,0
o,0
r,0
c,0
e,0
 ,0
f,0
u,0
r,0
t,0
h,0
e,0
r,0
 ,0
t,0
h,0
e,0
 ,0
a,0
p,0
p,0
l,0
i,0
c,0
a,0
t,0
i,0
o,0
n,0
 ,0
a,0
n,0
d,0
 ,0
c,0
l,0
i,0
n,0
i,0
c,0
a,0
l,0
 ,0
r,0
a,0
t,0
i,0
o,0
n,0
a,0
l,0
i,0
t,0
y,0
 ,0
o,0
f,0
 ,0
s,0
u,0
l,0
f,0
o,0
n,0
y,0
l,0
u,0
r,0
e,0
a,0
s,0
 ,0
b,0
y,0
 ,0
c,0
l,0
i,0
n,0
i,0
c,0
i,0
a,0
n,0
s,0
",",0
 ,0
e,0
n,0
d,0
o,0
c,0
r,0
i,0
n,0
e,0
"
",0
c,0
l,0
i,0
n,0
i,0
c,0
a,0
l,0
 ,0
e,0
x,0
p,0
e,0
r,0
t,0
s,0
 ,0
u,0
p,0
d,0
a,0
t,0
e,0
d,0
 ,0
t,0
h,0
e,0
 ,0
"""",0
C,0
h,0
i,0
n,0
e,0
s,0
e,0
 ,0
E,0
x,0
p,0
e,0
r,0
t,0
 ,0
C,0
o,0
n,0
s,0
e,0
n,0
s,0
u,0
s,0
 ,0
S,0
t,0
a,0
t,0
e,0
m,0
e,0
n,0
t,0
 ,0
o,0
n,0
 ,0
S,0
u,0
l,0
f,0
o,0
n,0
y,0
l,0
u,0
r,0
e,0
a,0
s,0
 ,0
i,0
n,0
 ,0
t,0
h,0
e,0
 ,0
C,0
l,0
i,0
n,0
i,0
c,0
a,0
l,0
 ,0
P,0
r,0
a,0
c,0
t,0
i,0
c,0
e,0
-,0
2,0
0,0
0,0
4,0
 ,0
e,0
d,0
i,0
t,0
i,0
o,0
n,0
"""",0
 ,0
b,0
a,0
s,0
e,0
d,0
 ,0
o,0
n,0
 ,0
a,0
d,0
v,0
a,0
n,0
c,0
e,0
s,0
 ,0
a,0
n,0
d,0
"
",0
p,0
r,0
o,0
g,0
r,0
e,0
s,0
s,0
i,0
o,0
n,0
s,0
 ,0
o,0
f,0
 ,0
e,0
v,0
i,0
d,0
e,0
n,0
c,0
e,0
-,0
b,0
a,0
s,0
e,0
d,0
 ,0
m,0
e,0
d,0
i,0
c,0
i,0
n,0
e,0
.,0
 ,0
B,0
y,0
 ,0
u,0
s,0
i,0
n,0
g,0
 ,0
a,0
 ,0
q,0
u,0
e,0
s,0
t,0
i,0
o,0
n,0
-,0
a,0
n,0
d,0
-,0
a,0
n,0
s,0
w,0
e,0
r,0
 ,0
f,0
o,0
r,0
m,0
a,0
t,0
",",0
 ,0
t,0
h,0
i,0
s,0
 ,0
n,0
e,0
w,0
 ,0
r,0
e,0
v,0
i,0
s,0
e,0
d,0
 ,0
e,0
d,0
i,0
t,0
i,0
o,0
n,0
 ,0
d,0
e,0
m,0
o,0
n,0
s,0
t,0
r,0
a,0
t,0
e,0
d,0
 ,0
t,0
h,0
e,0
 ,0
c,0
u,0
r,0
r,0
e,0
n,0
t,0
 ,0
c,0
l,0
i,0
n,0
i,0
c,0
a,0
l,0
 ,0
r,0
o,0
l,0
e,0
",",0
"
",0
m,0
e,0
c,0
h,0
a,0
n,0
i,0
s,0
m,0
",",0
 ,0
e,0
f,0
f,0
i,0
c,0
a,0
c,0
y,0
",",0
 ,0
s,0
a,0
f,0
e,0
t,0
y,0
 ,0
a,0
n,0
d,0
 ,0
a,0
p,0
p,0
l,0
i,0
c,0
a,0
t,0
i,0
o,0
n,0
 ,0
o,0
n,0
 ,0
s,0
p,0
e,0
c,0
i,0
a,0
l,0
 ,0
p,0
o,0
p,0
u,0
l,0
a,0
t,0
i,0
o,0
n,0
 ,0
o,0
f,0
 ,0
s,0
u,0
l,0
f,0
o,0
n,0
y,0
l,0
u,0
r,0
e,0
a,0
s,0
.,0
"
",0
[,0
K,0
e,0
y,0
 ,0
w,0
o,0
r,0
d,0
s,0
],0
 ,0
S,0
u,0
l,0
f,0
o,0
n,0
y,0
l,0
u,0
r,0
e,0
a,0
s,0
;,0
 ,0
C,0
o,0
n,0
s,0
e,0
n,0
s,0
u,0
s,0
;,0
 ,0
C,0
l,0
i,0
n,0
i,0
c,0
a,0
l,0
 ,0
P,0
r,0
a,0
c,0
t,0
i,0
c,0
e,0
"
",0
2,0
0,0
1,0
7,0
-,0
1,0
[,0
4,0
],0
.,0
i,0
n,0
d,0
d,0
 ,0
 ,0
 ,0
5,0
 ,0
2,0
0,0
1,0
7,0
/,0
3,0
/,0
2,0
 ,0
 ,0
 ,0
1,0
9,0
:,0
1,0
0,0
:,0
2,0
5,0
"
",0
表,0
1,0
 ,0
主,0
要,0
推,0
荐,0
意,0
见,0
"
",0
T,0
a,0
b,0
 ,0
1,0
 ,0
M,0
a,0
i,0
n,0
 ,0
e,0
v,0
i,0
d,0
e,0
n,0
c,0
e,0
-,0
b,0
a,0
s,0
e,0
d,0
 ,0
r,0
e,0
c,0
o,0
m,0
m,0
e,0
n,0
d,0
a,0
t,0
i,0
o,0
n,0
s,0
 ,0
o,0
n,0
 ,0
s,0
u,0
l,0
f,0
o,0
n,0
y,0
l,0
u,0
r,0
e,0
a,0
s,0
"
",0
序,0
号,0
 ,0
推,0
荐,0
内,0
容,0
 ,0
推,0
荐,0
"
",0
级,0
别,0
"
",0
1,0
 ,0
 ,0
临,0
床,0
地,0
位,0
和,0
使,0
用,0
时,0
机,0
"
",0
1,0
-,0
1,0
 ,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
目,0
前,0
仍,0
是,0
临,0
床,0
上,0
治,0
疗,0
T,B-Disease
2,I-Disease
D,I-Disease
M,I-Disease
的,0
常,0
用,0
口,0
服,0
药,0
物,0
之,0
一,0
",",0
具,0
有,0
相,0
当,0
重,0
要,0
的,0
临,0
床,0
地,0
位,0
 ,0
A,0
"
",0
1,0
-,0
2,0
 ,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
可,0
作,0
为,0
二,B-Disease
甲,I-Disease
双,I-Disease
胍,I-Disease
不,I-Disease
耐,I-Disease
受,I-Disease
或,0
存,0
在,0
禁,0
忌,0
证,0
的,0
患,0
者,0
的,0
起,0
始,0
治,0
疗,0
或,0
二,B-Drug
甲,I-Drug
双,I-Drug
胍,I-Drug
治,0
疗,0
血,B-Test
糖,I-Test
控,0
制,0
不,0
佳,0
时,0
的,0
联,0
合,0
用,0
药,0
 ,0
A,0
"
",0
1,0
-,0
3,0
 ,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
可,0
引,0
起,0
患,0
者,0
体,B-SideEff
重,I-SideEff
增,I-SideEff
加,I-SideEff
",",0
但,0
超,B-Disease
重,I-Disease
或,0
肥,B-Disease
胖,I-Disease
并,0
不,0
是,0
其,0
治,0
疗,0
的,0
禁,0
忌,0
证,0
 ,0
B,0
"
",0
2,0
 ,0
 ,0
剂,0
型,0
、,0
剂,0
量,0
和,0
临,0
床,0
疗,0
效,0
"
",0
2,0
-,0
1,0
 ,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
单,0
药,0
治,0
疗,0
可,0
降,0
低,0
H,B-Test
B,I-Test
A,I-Test
1,I-Test
C,I-Test
 ,0
1,B-Test_Value
%,I-Test_Value
~,I-Test_Value
2,I-Test_Value
%,I-Test_Value
",",0
并,0
可,0
以,0
与,0
多,0
