#1,2级目录
Biosparite|Biosparite|A limestone consists of allochems cemented together with sparry calcite (sparite). The content of allochems is more than 10% , the average size of which is less than 1 mm.  The ratio of intraclast to whole allochems is less than 25%; the ratio of ooid to whole allochems is also less than 25%. The ratio of fossils to pellets is larger than 3:1.
Biopelsparite|Biopelsparite|A limestone consists of allochems cemented together with sparry calcite (sparite). The content of allochems is more than 10% , the average size of which is less than 1 mm.  The ratio of intraclast to whole allochems is less than 25%; the ratio of ooid to whole allochems is also less than 25%. The ratio of fossils to pellets is between 3:1 and 1:3.
Pelsparite|Pelsparite|A limestone consists of allochems cemented together with sparry calcite (sparite). The content of allochems is more than 10% , the average size of which is less than 1 mm.  The ratio of intraclast to whole allochems is less than 25%; the ratio of ooid to whole allochems is also less than 25%. The ratio of fossils to pellets is less than 1:3.
#Replacement_dolomites 3级目录
Intraclastic_dolomite|Intraclastic_dolomite|Dolomite with intraclastic ghost. 
Pellet_dolomite|Pellet_dolomite|Dolomite with pellet ghost. 
Biogenic_dolomite|Biogenic_dolomite|Dolomite with biogenic ghost. 
Oolitic_dolomite|Oolitic_dolomite|Dolomite with oolitic ghost. 
Crystalline_dolomite|Crystalline_dolomite|Dolomite with no allochem ghost.
#Microcrystalline_rocks 3级目录
Micrite|Micrite|Limestone is domianted by micrite(<4 μm) with less than 1% allochems.
Dismicrite|Dismicrite|Limestone is dominated by micrite(<4 μm) with less than 1% allochems, and have been disturbed either by boring organisms or by soft-sediment deformation, and the resulting openings are filled with irregular "eyes" or stringers of sparry calcite. @Folk R L. Practical petrographic classification of limestones[J]. AAPG Bulletin, 1959, 43(1): 1-38.
Fossiliferous_micrite|Fossiliferous_micrite|A limestone consists of allochems set in a micrite matrix (<4 μm). The content of allochems is between 1% and 10%. The ratio of intraclast to whole allochems is less than 25%; the ratio of ooid to whole allochems is also less than 25%. The ratio of fossils to pellets is larger than 3:1.
Pelletiferous_micrite|Pelletiferous_micrite|A limestone consists of allochems set in a micrite matrix (<4 μm). The content of allochems is between 1% and 10%. The ratio of intraclast to whole allochems is less than 25%; the ratio of ooid to whole allochems is also less than 25%. The ratio of fossils to pellets is less than 3:1.
Oolite_bearing_micrite|Oolite_bearing_micrite|A limestone consists of allochems set in a micrite matrix (<4 μm). The content of allochems is between 1% and 10%. The ratio of ooids to whole allochems is larger than 25%.
Intraclast_bearing_micrite|A limestone consists of allochems set in a micrite matrix (<4 μm). The content of allochems is between 1% and 10%. The ratio of intraclast to whole allochems is larger than 25%.
#Crystalline_carbonate 3级目录
Dunhams_classification_1962|Dunhams_classification_1962|None
Embry_and_Klovans_classification_1971|Embry_and_Klovans_classification_1971|None
Crystalline_carbonate_texture|Crystalline_carbonate_texture|Dolomite and crystalline petrography is description of crystal size, texture and its fabrics. 
#Crystalline_carbonate 4级目录
Crystallization_textures|Crystallization_textures|Crystallization textures refer to the shape of mineral crystals and the type of crystal faces at crystal boundaries. @Flügel, Erik. Microfacies of carbonate rocks: analysis, interpretation and application. Springer Science & Business Media, 2010.
Crystal_Size|Crystal_Size|The diameter of the crystal.
Crystallization_fabrics|Crystallization_fabrics|Crystallization fabrics refer to the size and mutual relations of crystals.@Flügel, Erik. Microfacies of carbonate rocks: analysis, interpretation and application. Springer Science & Business Media, 2010.
#Crystalline_carbonate 5级目录
Euhedral|Euhedral|Euhedral is a term which relates to the shape of mineral crystals and refers to the presence of crystal faces. @Friedman G M. Terminology of crystallization textures and fabrics in sedimentary rocks. Journal of Sedimentary Research, 1965, 35(3): 643-655.
Subhedral|Subhedral|Subhedral (noun is subhedron) is defined as a term which relates to the shape of mineral crystals and describes minerals with partially developed crystal faces. @Friedman G M. Terminology of crystallization textures and fabrics in sedimentary rocks. Journal of Sedimentary Research, 1965, 35(3): 643-655.
Anhedral|Anhedral|Anhedral refers to the shape of mineral crystals and the absence of crystal faces bounding the mineral grains. @Friedman G M. Terminology of crystallization textures and fabrics in sedimentary rocks. Journal of Sedimentary Research, 1965, 35(3): 643-655.
Very_coarsely_crystalline|Very_coarsely_crystalline|The crysral size is larger than 1 mm, but less than 4 mm. @Folk R L. Practical petrographic classification of limestones. AAPG Bulletin, 1959, 43(1): 1-38.
Extremely_coarsely_crystalline|Extremely_coarsely_crystalline|The crysral size is larger than 4 mm. @Folk R L. Practical petrographic classification of limestones. AAPG Bulletin, 1959, 43(1): 1-38.
Coarsely_crystalline|Coarsely_crystalline|The crysral size is larger than 0.25 mm, but less than 1 mm. @Folk R L. Practical petrographic classification of limestones. AAPG Bulletin, 1959, 43(1): 1-38.
Medium_crystalline|Medium_crystalline|The crysral size is larger than 0.062 mm, but less than 0.25 mm. @Folk R L. Practical petrographic classification of limestones. AAPG Bulletin, 1959, 43(1): 1-38.
Finely_crystalline|Finely_crystalline|The crysral size is larger than 0.016 mm, but less than 0.062 mm. @Folk R L. Practical petrographic classification of limestones. AAPG Bulletin, 1959, 43(1): 1-38.
Very_finely_crystalline|Very_finely_crystalline|The crysral size is larger than 0.004 mm, but less than 0.016 mm. @Folk R L. Practical petrographic classification of limestones. AAPG Bulletin, 1959, 43(1): 1-38.
Aphanocrystalline|Aphanocrystalline|The crysral size is less than 0.004 mm. @Folk R L. Practical petrographic classification of limestones. AAPG Bulletin, 1959, 43(1): 1-38. 
Equigranular|Equigranular|Equigranular describe the constituent crystals are of approximately the same size. @Friedman G M. Terminology of crystallization textures and fabrics in sedimentary rocks. Journal of Sedimentary Research, 1965, 35(3): 643-655.
Porphyrotopic|Porphyrotopic|Porphyrotopic is a term, here proposed, which describes the mutual relationships of mineral crystals in a sedimentary rock in which the constituent crystals are of more than one size (inequigranular) and in which larger crystals (porphyrotopes) are enclosed in a finer-grained matrix. This term is restricted to carbonate rocks in which the depositional fabric has undergone recrystallization and to sediments formed by precipitation. @Friedman G M. Terminology of crystallization textures and fabrics in sedimentary rocks. Journal of Sedimentary Research, 1965, 35(3): 643-655.
Poikilotopic|Poikilotopic|Poikilotopic is a term, here proposed, which relates to the fabric of inequigranular sedimentary rocks which have undergone recrystallization or which have formed by precipitation, in which the constituent crystals are of more than one size, and in which larger crystals enclose smaller crystals of another mineral. @Friedman G M. Terminology of crystallization textures and fabrics in sedimentary rocks. Journal of Sedimentary Research, 1965, 35(3): 643-655.
#Allochthonous_carbonate 3级目录
